,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
96,BG1,SO2,2020-05-01 00:00:00,1.1,ppb,R
97,BG1,SO2,2020-05-01 01:00:00,1.1,ppb,R
98,BG1,SO2,2020-05-01 02:00:00,0.3,ppb,R
99,BG1,SO2,2020-05-01 03:00:00,1.1,ppb,R
100,BG1,SO2,2020-05-01 04:00:00,0.8,ppb,R
101,BG1,SO2,2020-05-01 05:00:00,1.3,ppb,R
102,BG1,SO2,2020-05-01 06:00:00,0.3,ppb,R
103,BG1,SO2,2020-05-01 07:00:00,1.1,ppb,R
104,BG1,SO2,2020-05-01 08:00:00,1.1,ppb,R
105,BG1,SO2,2020-05-01 09:00:00,0.5,ppb,R
106,BG1,SO2,2020-05-01 10:00:00,0.3,ppb,R
107,BG1,SO2,2020-05-01 11:00:00,0.8,ppb,R
108,BG1,SO2,2020-05-01 12:00:00,1.3,ppb,R
109,BG1,SO2,2020-05-01 13:00:00,0.8,ppb,R
110,BG1,SO2,2020-05-01 14:00:00,0.3,ppb,R
111,BG1,SO2,2020-05-01 15:00:00,0.3,ppb,R
112,BG1,SO2,2020-05-01 16:00:00,1.1,ppb,R
113,BG1,SO2,2020-05-01 17:00:00,0.3,ppb,R
114,BG1,SO2,2020-05-01 18:00:00,0.8,ppb,R
115,BG1,SO2,2020-05-01 19:00:00,1.3,ppb,R
116,BG1,SO2,2020-05-01 20:00:00,0.8,ppb,R
117,BG1,SO2,2020-05-01 21:00:00,0.8,ppb,R
118,BG1,SO2,2020-05-01 22:00:00,0.5,ppb,R
119,BG1,SO2,2020-05-01 23:00:00,0.8,ppb,R
120,BG1,SO2,2020-06-01 00:00:00,0.7,ppb,R
121,BG1,SO2,2020-06-01 01:00:00,1.4,ppb,R
122,BG1,SO2,2020-06-01 02:00:00,0.5,ppb,R
123,BG1,SO2,2020-06-01 03:00:00,0.8,ppb,R
124,BG1,SO2,2020-06-01 04:00:00,0.8,ppb,R
125,BG1,SO2,2020-06-01 05:00:00,0.5,ppb,R
126,BG1,SO2,2020-06-01 06:00:00,0.8,ppb,R
127,BG1,SO2,2020-06-01 07:00:00,0.5,ppb,R
128,BG1,SO2,2020-06-01 08:00:00,0.8,ppb,R
129,BG1,SO2,2020-06-01 09:00:00,0.8,ppb,R
130,BG1,SO2,2020-06-01 10:00:00,1.1,ppb,R
131,BG1,SO2,2020-06-01 11:00:00,1.1,ppb,R
132,BG1,SO2,2020-06-01 12:00:00,1.1,ppb,R
133,BG1,SO2,2020-06-01 13:00:00,0.5,ppb,R
134,BG1,SO2,2020-06-01 14:00:00,0.8,ppb,R
135,BG1,SO2,2020-06-01 15:00:00,1.1,ppb,R
136,BG1,SO2,2020-06-01 16:00:00,0.8,ppb,R
137,BG1,SO2,2020-06-01 17:00:00,0.0,ppb,R
138,BG1,SO2,2020-06-01 18:00:00,0.5,ppb,R
139,BG1,SO2,2020-06-01 19:00:00,0.3,ppb,R
140,BG1,SO2,2020-06-01 20:00:00,0.5,ppb,R
141,BG1,SO2,2020-06-01 21:00:00,1.1,ppb,R
142,BG1,SO2,2020-06-01 22:00:00,0.3,ppb,R
143,BG1,SO2,2020-06-01 23:00:00,0.8,ppb,R
144,BG1,SO2,2020-07-01 00:00:00,1.4,ppb,R
145,BG1,SO2,2020-07-01 01:00:00,1.1,ppb,R
146,BG1,SO2,2020-07-01 02:00:00,1.1,ppb,R
147,BG1,SO2,2020-07-01 03:00:00,0.5,ppb,R
148,BG1,SO2,2020-07-01 04:00:00,0.5,ppb,R
149,BG1,SO2,2020-07-01 05:00:00,0.8,ppb,R
150,BG1,SO2,2020-07-01 06:00:00,0.5,ppb,R
151,BG1,SO2,2020-07-01 07:00:00,0.3,ppb,R
152,BG1,SO2,2020-07-01 08:00:00,1.1,ppb,R
153,BG1,SO2,2020-07-01 09:00:00,0.3,ppb,R
154,BG1,SO2,2020-07-01 10:00:00,0.8,ppb,R
155,BG1,SO2,2020-07-01 11:00:00,0.8,ppb,R
156,BG1,SO2,2020-07-01 12:00:00,0.5,ppb,R
157,BG1,SO2,2020-07-01 13:00:00,0.8,ppb,R
158,BG1,SO2,2020-07-01 14:00:00,1.1,ppb,R
159,BG1,SO2,2020-07-01 15:00:00,0.3,ppb,R
160,BG1,SO2,2020-07-01 16:00:00,0.3,ppb,R
161,BG1,SO2,2020-07-01 17:00:00,0.8,ppb,R
162,BG1,SO2,2020-07-01 18:00:00,0.0,ppb,R
163,BG1,SO2,2020-07-01 19:00:00,0.8,ppb,R
164,BG1,SO2,2020-07-01 20:00:00,0.3,ppb,R
165,BG1,SO2,2020-07-01 21:00:00,0.8,ppb,R
166,BG1,SO2,2020-07-01 22:00:00,0.0,ppb,R
167,BG1,SO2,2020-07-01 23:00:00,0.5,ppb,R
168,BG1,SO2,2020-08-01 00:00:00,1.1,ppb,R
169,BG1,SO2,2020-08-01 01:00:00,1.1,ppb,R
170,BG1,SO2,2020-08-01 02:00:00,0.8,ppb,R
171,BG1,SO2,2020-08-01 03:00:00,0.3,ppb,R
172,BG1,SO2,2020-08-01 04:00:00,0.8,ppb,R
173,BG1,SO2,2020-08-01 05:00:00,0.5,ppb,R
174,BG1,SO2,2020-08-01 06:00:00,1.1,ppb,R
175,BG1,SO2,2020-08-01 07:00:00,1.1,ppb,R
176,BG1,SO2,2020-08-01 08:00:00,1.1,ppb,R
177,BG1,SO2,2020-08-01 09:00:00,1.8,ppb,R
178,BG1,SO2,2020-08-01 10:00:00,1.6,ppb,R
179,BG1,SO2,2020-08-01 11:00:00,1.9,ppb,R
180,BG1,SO2,2020-08-01 12:00:00,1.3,ppb,R
181,BG1,SO2,2020-08-01 13:00:00,1.9,ppb,R
182,BG1,SO2,2020-08-01 14:00:00,1.6,ppb,R
183,BG1,SO2,2020-08-01 15:00:00,1.1,ppb,R
184,BG1,SO2,2020-08-01 16:00:00,1.1,ppb,R
185,BG1,SO2,2020-08-01 17:00:00,1.3,ppb,R
186,BG1,SO2,2020-08-01 18:00:00,1.6,ppb,R
187,BG1,SO2,2020-08-01 19:00:00,1.9,ppb,R
188,BG1,SO2,2020-08-01 20:00:00,1.3,ppb,R
189,BG1,SO2,2020-08-01 21:00:00,1.3,ppb,R
190,BG1,SO2,2020-08-01 22:00:00,1.3,ppb,R
191,BG1,SO2,2020-08-01 23:00:00,1.1,ppb,R
192,BG1,SO2,2020-09-01 00:00:00,1.4,ppb,R
193,BG1,SO2,2020-09-01 01:00:00,1.4,ppb,R
194,BG1,SO2,2020-09-01 02:00:00,1.3,ppb,R
195,BG1,SO2,2020-09-01 03:00:00,1.6,ppb,R
196,BG1,SO2,2020-09-01 04:00:00,1.6,ppb,R
197,BG1,SO2,2020-09-01 05:00:00,0.8,ppb,R
198,BG1,SO2,2020-09-01 06:00:00,1.3,ppb,R
199,BG1,SO2,2020-09-01 07:00:00,1.3,ppb,R
200,BG1,SO2,2020-09-01 08:00:00,1.3,ppb,R
201,BG1,SO2,2020-09-01 09:00:00,1.1,ppb,R
202,BG1,SO2,2020-09-01 10:00:00,1.1,ppb,R
203,BG1,SO2,2020-09-01 11:00:00,1.3,ppb,R
204,BG1,SO2,2020-09-01 12:00:00,1.3,ppb,R
205,BG1,SO2,2020-09-01 13:00:00,0.8,ppb,R
206,BG1,SO2,2020-09-01 14:00:00,1.3,ppb,R
207,BG1,SO2,2020-09-01 15:00:00,0.8,ppb,R
208,BG1,SO2,2020-09-01 16:00:00,1.3,ppb,R
209,BG1,SO2,2020-09-01 17:00:00,1.3,ppb,R
210,BG1,SO2,2020-09-01 18:00:00,1.1,ppb,R
211,BG1,SO2,2020-09-01 19:00:00,0.8,ppb,R
212,BG1,SO2,2020-09-01 20:00:00,1.3,ppb,R
213,BG1,SO2,2020-09-01 21:00:00,1.3,ppb,R
214,BG1,SO2,2020-09-01 22:00:00,1.1,ppb,R
215,BG1,SO2,2020-09-01 23:00:00,1.3,ppb,R
216,BG1,SO2,2020-10-01 00:00:00,1.4,ppb,R
217,BG1,SO2,2020-10-01 01:00:00,1.4,ppb,R
218,BG1,SO2,2020-10-01 02:00:00,1.3,ppb,R
219,BG1,SO2,2020-10-01 03:00:00,1.6,ppb,R
220,BG1,SO2,2020-10-01 04:00:00,1.6,ppb,R
221,BG1,SO2,2020-10-01 05:00:00,1.3,ppb,R
222,BG1,SO2,2020-10-01 06:00:00,1.1,ppb,R
223,BG1,SO2,2020-10-01 07:00:00,1.3,ppb,R
224,BG1,SO2,2020-10-01 08:00:00,1.1,ppb,R
225,BG1,SO2,2020-10-01 09:00:00,1.3,ppb,R
226,BG1,SO2,2020-10-01 10:00:00,1.1,ppb,R
227,BG1,SO2,2020-10-01 11:00:00,1.1,ppb,R
228,BG1,SO2,2020-10-01 12:00:00,1.1,ppb,R
229,BG1,SO2,2020-10-01 13:00:00,1.6,ppb,R
230,BG1,SO2,2020-10-01 14:00:00,1.1,ppb,R
231,BG1,SO2,2020-10-01 15:00:00,0.8,ppb,R
232,BG1,SO2,2020-10-01 16:00:00,1.3,ppb,R
233,BG1,SO2,2020-10-01 17:00:00,1.3,ppb,R
234,BG1,SO2,2020-10-01 18:00:00,1.1,ppb,R
235,BG1,SO2,2020-10-01 19:00:00,1.1,ppb,R
236,BG1,SO2,2020-10-01 20:00:00,1.3,ppb,R
237,BG1,SO2,2020-10-01 21:00:00,1.9,ppb,R
238,BG1,SO2,2020-10-01 22:00:00,1.9,ppb,R
239,BG1,SO2,2020-10-01 23:00:00,1.6,ppb,R
240,BG1,SO2,2020-11-01 00:00:00,1.8,ppb,R
241,BG1,SO2,2020-11-01 01:00:00,2.1,ppb,R
242,BG1,SO2,2020-11-01 02:00:00,1.3,ppb,R
243,BG1,SO2,2020-11-01 03:00:00,1.3,ppb,R
244,BG1,SO2,2020-11-01 04:00:00,1.3,ppb,R
245,BG1,SO2,2020-11-01 05:00:00,1.6,ppb,R
246,BG1,SO2,2020-11-01 06:00:00,0.8,ppb,R
247,BG1,SO2,2020-11-01 07:00:00,1.3,ppb,R
248,BG1,SO2,2020-11-01 08:00:00,1.3,ppb,R
249,BG1,SO2,2020-11-01 09:00:00,1.6,ppb,R
250,BG1,SO2,2020-11-01 10:00:00,1.3,ppb,R
251,BG1,SO2,2020-11-01 11:00:00,1.9,ppb,R
252,BG1,SO2,2020-11-01 12:00:00,1.3,ppb,R
253,BG1,SO2,2020-11-01 13:00:00,1.1,ppb,R
254,BG1,SO2,2020-11-01 14:00:00,1.1,ppb,R
255,BG1,SO2,2020-11-01 15:00:00,1.3,ppb,R
256,BG1,SO2,2020-11-01 16:00:00,1.1,ppb,R
257,BG1,SO2,2020-11-01 17:00:00,1.3,ppb,R
258,BG1,SO2,2020-11-01 18:00:00,1.1,ppb,R
259,BG1,SO2,2020-11-01 19:00:00,1.3,ppb,R
